prezime,drzava,sutevi,broj_odigranih_minuta
Djebbour,Algeria,3,123
Ghezzal,Algeria,3,40
Saifi,Algeria,1,15
Aguero,Argentina,2,106
Higuain,Argentina,13,341
Messi,Argentina,21,450
Milito,Argentina,0,91
Palermo,Argentina,3,10
Tevez,Argentina,6,324
Holman,Australia,3,138
Kennedy,Australia,3,112
Rukavytsya,Australia,1,32
Fabiano,Brazil,9,418
Grafite,Brazil,0,5
Nilmar,Brazil,5,129
Robinho,Brazil,9,354
Aboubakar,Cameroon,2,46
Choupo-Moting,Cameroon,2,147
Eto'o,Cameroon,4,270
Idrissou,Cameroon,2,50
Webo,Cameroon,4,168
Orellana,Chile,1,25
Paredes,Chile,3,70
Suazo,Chile,4,135
Sanchez,Chile,7,335
Valdivia,Chile,3,222
Bendtner,Denmark,4,242
Larsen,Denmark,2,34
Tomasson,Denmark,7,176
Crouch,England,1,17
Defoe,England,5,173
Heskey,England,2,176
Rooney,England,8,342
Anelka,France,7,117
Cisse,France,3,55
Gignac,France,3,95
Govou,France,1,162
Henry,France,1,53
Cacau,Germany,4,132
Gomez,Germany,2,57
Kiessling,Germany,0,7
Klose,Germany,11,356
Mueller,Germany,7,383
Podolski,Germany,17,531
Adiyiah,Ghana,0,33
Amoah,Ghana,0,11
Gyan,Ghana,27,501
Owusu-Abeyie,Ghana,2,35
Tagoe,Ghana,3,210
Charisteas,Greece,0,61
Gekas,Greece,3,169
Kapetanos,Greece,1,29
Salpingidis,Greece,3,121
Samaras,Greece,7,202
Jerry Palacios,Honduras,0,84
Pavon,Honduras,1,60
Suazo,Honduras,2,171
Walter Martinez,Honduras,0,125
Welcome,Honduras,2,87
Di Natale,Italy,6,153
Gilardino,Italy,1,117
Iaquinta,Italy,5,270
Pazzini,Italy,0,29
Pepe,Italy,3,225
Quagliarella,Italy,3,45
Dindane,Ivory Coast,1,170
Doumbia,Ivory Coast,0,11
Drogba,Ivory Coast,8,204
Gervinho,Ivory Coast,5,182
Kalou,Ivory Coast,4,160
Okazaki,Japan,4,104
Okubo,Japan,7,351
Tamada,Japan,0,28
Yano,Japan,0,9
Bautista,Mexico,0,45
Blanco,Mexico,2,112
Franco,Mexico,4,253
Hernandez,Mexico,6,169
Vela,Mexico,1,100
Elia,Netherlands,2,85
Huntelaar,Netherlands,1,48
Kuyt,Netherlands,11,516
Robben,Netherlands,6,267
van Persie,Netherlands,14,479
Fallon,New Zealand,1,222
Killen,New Zealand,3,240
Smeltz,New Zealand,5,270
Wood,New Zealand,1,66
Kanu,Nigeria,0,57
Martins,Nigeria,2,71
Obasi,Nigeria,6,195
Odemwingie,Nigeria,0,75
Victor Obinna,Nigeria,3,72
Yakubu,Nigeria,6,250
Choe Kum-Chol,North Korea,1,23
Hong Yong-Jo,North Korea,4,270
Jong Tae-Se,North Korea,13,270
Kim Kum-Il,North Korea,0,42
Barrios,Paraguay,6,308
Benitez,Paraguay,2,83
Cardozo,Paraguay,3,204
Santa Cruz,Paraguay,6,312
Valdez,Paraguay,8,337
Almeida,Portugal,5,136
Danny,Portugal,1,176
Liedson,Portugal,4,121
Ronaldo,Portugal,18,360
Lazovic,Serbia,1,44
Pantelic,Serbia,3,113
Zigic,Serbia,5,227
Holosko,Slovakia,0,29
Jakubko,Slovakia,0,2
Jendrisek,Slovakia,3,250
Sestak,Slovakia,3,152
Vittek,Slovakia,10,353
Dedic,Slovenia,0,84
Ljubijankic,Slovenia,2,173
Matavz,Slovenia,0,11
Novakovic,Slovenia,2,270
Pecnik,Slovenia,0,21
Mphela,South Africa,10,270
Nomvete,South Africa,0,22
Parker,South Africa,1,75
Lee Dong-Gook,South Korea,1,38
Lee Seung-Yeoul,South Korea,0,3
Park Chu-Young,South Korea,14,347
Llorente,Spain,2,31
Torres,Spain,9,278
Villa,Spain,22,529
Bunjaku,Switzerland,0,13
Derdiyok,Switzerland,4,191
Frei,Switzerland,2,63
Nkufo,Switzerland,2,227
Abreu,Uruguay,0,72
Cavani,Uruguay,9,435
Fernandez,Uruguay,0,7
Forlan,Uruguay,18,564
Suarez,Uruguay,19,452
Buddle,USA,1,39
Donovan,USA,7,390
Findley,USA,1,167
Gomez,USA,4,85
Jozy Altidore,USA,8,356
